price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
51990,69,8,512,15.6,1920,1080,1
62608,66,16,512,17.3,1920,1080,1
57999,67,8,512,15.6,1920,1080,1
62990,69.32352941,8,512,14,1920,1080,1
71990,69.32352941,16,512,14,1920,1200,2
297990,85,32,1024,16,2560,1600,1
138490,78,16,1024,16,2560,1600,1
103395,77,16,512,16,2560,1600,1
88990,66,16,512,16,2560,1600,3
419990,89,64,2048,16,2560,1600,2
87990,65,16,512,14,1920,1200,1
48990,62,8,512,15.6,1920,1080,1
79990,70,16,512,15.6,1920,1080,1
33990,69.32352941,8,256,15.6,1920,1080,1
26990,69.32352941,8,512,14,1366,768,1
13990,69.32352941,4,64,11.6,1280,1024,1
49990,65,16,1024,14,1920,1080,1
59990,65,8,512,15.6,1920,1080,1
91990,71,16,1024,15.6,1920,1080,1
95689,73,16,1024,16,1920,1200,1
26732,69.32352941,8,128,14,1280,1024,1
89999,70,16,512,14,1920,1080,1
69990,62,16,1024,14,1920,1200,1
65391,69.32352941,16,1024,14,1920,1200,1
90000,69.32352941,16,512,14,1920,1080,1
38390,69.32352941,8,512,15.6,1920,1080,1
40990,69.32352941,8,512,15.6,1920,1080,1
50990,62,8,512,15.6,1920,1080,1
47990,69.32352941,8,512,15.6,1920,1080,1
59990,69.32352941,16,512,15.6,1920,1080,1
61990,69.32352941,8,512,15.6,1920,1080,1
31990,69.32352941,8,512,14,1920,1080,1
129990,82,32,1024,16,1920,1200,2
49989,63,8,512,15.6,1920,1080,1
42990,69.32352941,8,512,15.6,1920,1080,1
259990,83,32,1024,16,1920,1200,2
44690,69.32352941,8,512,15.6,1920,1080,1
61990,69,16,512,14,1920,1200,1
123300,75,16,1024,16,1920,1200,1
74499,69.32352941,16,1024,15.6,1920,1080,1
47990,65,8,512,15.6,1920,1080,1
85990,71,16,1024,13.3,1920,1200,1
61990,63,16,512,14,1920,1200,1
21990,69.32352941,8,256,14.1,1920,1080,1
49990,67,8,512,15.6,1920,1080,1
112990,79,16,512,16,1920,1200,1
127990,83,16,512,16,2560,1600,1
91590,70,16,512,14,1920,1080,1
103060,71,16,512,15.6,1920,1080,1
39600,69.32352941,8,512,15.6,1920,1080,1
137590,83,16,512,16,2560,1600,1
53980,69,16,512,16,1920,1080,1
54990,60,16,512,14,1920,1080,1
